"county","year","ct","label","MHV","MHV2","MHI","taxi","taxi_share","trees","med_rent","myb","no_mort","pct_no_mort","occupied","pct_occup","renter","pct_renter","total_u","u_detach","u_attach","u2","u34","u59","u1019","u2049","u50","pct_u_detach","pct_u_attach","pct_u2","pct_u34","pct_u59","pct_u1019","pct_u2049","pct_u50","b9099","b8089","b7079","b6069","b5059","b4049","b39","b2010","pct2010","pct9099","pct8089","pct7079","pct6069","pct5059","pct4049","pct39","pct_e9","pct_e912","pct_hs","pct_coll","pct_ass","pct_bat","pct_grad","pct_all_coll","tt15","tt30","tt45","tt60","tt90","pct_tt15","pct_tt30","pct_tt45","pct_tt60","pct_tt90","white","black","indian","asian","pac","other","multi","pct_white","pct_black","pct_indian","pct_asian","pct_pac","pct_other","pct_multi","pct_p1","pct_p2","pct_p3","pct_p4","pct_family","pct_married","pct_other_hht","pct_fam_male","pct_fam_fem","pct_non_fam","pct_non_fam_alone","pct_non_fam_na","pct_child","nname","MHV_neigh","med_rooms","units","mhc","foreign","pct_foreign","med_tage","med_mage","med_fage","pop","pov","pct_pov","t10walk","t10walkc","t10sub07d","t10subctdo","t10treepc","crime","tot_empl","empl_mgmt","empl_svc","empl_sls","empl_con","empl_trns","pct_e_mgmt","pct_e_svc","pct_e_sls","pct_e_con","pct_e_trn","pct_work_yr","pct_work_not","wiki","google","ylp_count","ylp_tot","ylp_avg","ylp_diff","pct_taxi","pct_trees","pct_crime","pct_ylp_count","b_bronx","b_brooklyn","b_queens","MHV_diff","MHV_log","hpi_change","HPI","bin_20"
"Bronx","y15",36005023600,"Census Tract 236, Bronx County, New York",455600,NA,40903,721,0.59274451942015,141,1308,1939,29,0.235772357723577,637,0.949329359165425,535,0.821812596006144,671,59,34,176,161,30,9,137,65,0.0879284649776453,0.0506706408345753,0.262295081967213,0.239940387481371,0.0447093889716841,0.0134128166915052,0.204172876304024,0.0968703427719821,55,37,17,24,97,32,366,43,0.0640834575260805,0.0819672131147541,0.0551415797317437,0.0253353204172876,0.0357675111773472,0.144560357675112,0.0476900149031297,0.545454545454545,24.4478293983244,13.023610053313,25.5140898705255,10.967250571211,8.3015993907083,11.3480578827113,6.3975628332064,26.047220106626,217,260,141,247,93,0.22651356993737,0.271398747390397,0.147181628392484,0.257828810020877,0.0970772442588727,867,225,0,180,0,965,76,0.381098901098901,0.0989010989010989,0,0.0791208791208791,0,0.424175824175824,0.0334065934065934,27.5,15.1,15.7,41.8,67.2,28.4,38.8,9.3,29.5,32.8,27.5,5.3,43,"Van Nest-Morris Park-Westchester Square",420125,4.4,678,1346,779,0.342417582417582,28.6,26.8,30.3,2275,724,0.321634828964904,-0.7298,2,-0.1811,0,0.163624165,139,998,140,373,232,115,138,0.140280561122244,0.37374749498998,0.232464929859719,0.115230460921844,0.138276553106212,56.5,30.2,29.7299835433336,690.310139259171,10,43,4.3,3,0.316923076923077,0.061978021978022,0.0610989010989011,0.0043956043956044,1,0,0,-35475,13.0293705105552,3.1,752.1,0.0178958980177344
"Bronx","y15",36005013800,"Census Tract 138, Bronx County, New York",281600,NA,79773,1035,0.511932949840844,105,1262,1952,341,0.397899649941657,1212,0.89977728285078,397,0.317346123101519,1347,799,106,92,94,0,22,74,160,0.593170007423905,0.0786933927245731,0.0682999257609503,0.0697847067557535,0,0.0163325909428359,0.0549368968077209,0.118782479584261,56,0,132,171,183,207,425,173,0.128433556050483,0.0415738678544915,0,0.0979955456570156,0.126948775055679,0.135857461024499,0.153674832962138,0.315515961395694,9.03195924038907,6.90134321445113,35.4330708661417,20.9356183418249,5.69708198239926,13.5710977304308,8.42982862436313,27.6980083371931,415,378,263,233,94,0.300072306579899,0.273318872017354,0.190166305133767,0.168474331164136,0.0679681851048445,2275,146,0,147,0,412,18,0.761124121779859,0.0488457678153228,0,0.0491803278688525,0,0.137838742054199,0.00602208096353295,36.8,32.3,12.5,18.3,58.1,42.1,16,5,11,41.9,36.8,5.1,25.3,"Schuylerville-Throgs Neck-Edgewater Park",422942.857142857,4.7,1368,1124,444,0.148544663767146,40.9,37,43.3,2989,164,0.0550520308828466,-1.0676,2,-0.6993,0,0.163950259,89,1420,447,187,397,145,244,0.314788732394366,0.13169014084507,0.279577464788732,0.102112676056338,0.171830985915493,60.7,24.6,5.83074908296421,358.631430941724,2,2,1,1,0.346269655403145,0.0351288056206089,0.0297758447641352,0.000669120107059217,1,0,0,141342.857142857,12.548242903266,3.1,752.1,0.0477611508015498
"Bronx","y15",36005028300,"Census Tract 283, Bronx County, New York",183000,NA,24759,4057,0.5969085530983,207,801,1954,30,0.731707317073171,1281,0.940528634361233,1136,0.918350848827809,1362,13,0,39,22,0,37,374,877,0.00954478707782672,0,0.0286343612334802,0.0161527165932452,0,0.0271659324522761,0.274596182085169,0.643906020558003,11,0,161,90,453,129,362,156,0.114537444933921,0.00807635829662261,0,0.118208516886931,0.066079295154185,0.332599118942731,0.0947136563876652,0.265785609397944,19.4559704933149,16.7819271553711,21.5767634854772,21.622867680959,4.9792531120332,9.4974642692485,6.08575380359613,20.5624711848778,196,330,363,183,63,0.172687224669604,0.290748898678414,0.319823788546255,0.161233480176211,0.0555066079295154,593,931,25,9,0,1721,182,0.175964391691395,0.276261127596439,0.00741839762611276,0.00267062314540059,0,0.510682492581602,0.0540059347181009,28.3,30.6,21.3,19.8,67.1,14.9,52.1,3.1,49,32.9,28.3,4.6,40,"Spuyten Duyvil-Kingsbridge",322350,4,1320,788,1140,0.338278931750742,30.7,28.5,35.3,3370,1093,0.325007433838834,-0.3883,3,0.0066,2,0.141570487,315,1251,280,412,322,57,180,0.223820943245404,0.32933653077538,0.257394084732214,0.0455635491606715,0.143884892086331,52,34.8,3.14842339515208,525.426555153026,239,778,3.25523012552301,116,1.20385756676558,0.0614243323442136,0.0934718100890208,0.070919881305638,1,0,0,139350,12.1172414318236,3.1,752.1,0.66152059696584
"Bronx","y15",36005022800,"Census Tract 228, Bronx County, New York",339700,NA,45069,2414,0.613078194953245,299,1342,1946,46,0.306666666666667,2439,0.969781312127237,2255,0.92645850451931,2515,65,44,74,121,10,142,760,1278,0.025844930417495,0.0174950298210736,0.0294234592445328,0.0481113320079523,0.00397614314115308,0.0564612326043738,0.302186878727634,0.508151093439364,83,78,119,316,538,309,1072,0,0,0.0330019880715706,0.031013916500994,0.0473161033797217,0.125646123260437,0.213916500994036,0.12286282306163,0.42624254473161,13.3317433818269,6.67779632721202,27.9751967564989,14.2380157405199,10.8752683043167,15.4543286429764,11.4476508466492,37.7772477939423,556,559,566,900,208,0.19935460738616,0.20043026174256,0.202940121907494,0.322696306920043,0.0745787020437433,1631,1543,0,905,0,2051,202,0.261755737441823,0.247632803723319,0,0.145241534264163,0,0.329160648371048,0.0324185523992939,35.4,27,15.3,22.3,59.3,29.7,29.6,3.4,26.1,40.7,35.4,5.3,32.5,"Pelham Parkway",349488.888888889,3.6,2588,1343,2270,0.364307494784144,33.1,32.5,33.3,6231,1092,0.176385075109029,1.105,4,0.2436,0,0.163043177,154,2988,931,853,715,196,293,0.311579651941098,0.285475234270415,0.239290495314592,0.0655957161981258,0.0980589022757697,58.7,27.7,39.8479961683074,853.777486298302,22,85,3.86363636363636,-1,0.387417749959878,0.0479858770662815,0.0247151340073824,0.00353073342962606,1,0,0,9788.88888888888,12.7358181541487,3.1,752.1,0.0898993699865316
"Bronx","y15",36005014100,"Census Tract 141, Bronx County, New York",287500,NA,32500,5235,0.577760660463709,193,1010,2001,39,0.319672131147541,1928,0.90135577372604,1460,0.958634274458306,2139,8,0,46,146,97,191,574,1077,0.0037400654511454,0,0.021505376344086,0.0682561944834035,0.0453482935951379,0.0892940626460963,0.268349696119682,0.503506311360449,119,66,135,53,54,132,427,1153,0.53903693314633,0.0556334735857878,0.0308555399719495,0.0631136044880785,0.0247779336138382,0.0252454417952314,0.061711079943899,0.199625993454885,13.6548700281867,17.1312245537112,27.1844660194175,19.2922016911995,7.42248668963357,10.8675227059192,4.44722831193235,22.7372377074851,268,512,646,451,220,0.127801621363853,0.24415832141154,0.308059132093467,0.215069146399618,0.104911778731521,861,2103,37,60,0,2189,210,0.16078431372549,0.392717086834734,0.0069094304388422,0.0112044817927171,0,0.408776844070962,0.0392156862745098,35.7,19.5,23.9,20.9,60.6,17.9,42.7,5.8,36.9,39.4,35.7,3.7,42.7,"Morrisania-Melrose",344900,3.8,1720,1033,1670,0.311858076563959,31.1,28.6,33.7,5355,1392,0.262097533421201,2.4177,5,-0.1237,0,0.095121427,407,2163,459,800,530,90,284,0.212205270457698,0.369856680536292,0.245030050855294,0.0416088765603329,0.131299121590384,55.4,32.5,15.7144200050844,539.005396665037,26,88,3.38461538461538,22,0.977591036414566,0.0360410830999066,0.0760037348272642,0.00485527544351074,1,0,0,57400,12.5689781392195,3.1,752.1,0.191689307172724
"Bronx","y15",36005028100,"Census Tract 281, Bronx County, New York",27100,NA,61886,2084,0.514357094334099,250,1071,1951,930,0.874882408278457,1652,0.941847206385405,876,0.502005730659026,1754,23,0,33,36,38,83,365,1176,0.0131128848346636,0,0.0188141391106043,0.0205245153933865,0.0216647662485747,0.0473204104903079,0.208095781071836,0.670467502850627,0,23,252,156,482,212,629,0,0,0,0.0131128848346636,0.143671607753706,0.088939566704675,0.274800456100342,0.120866590649943,0.35860889395667,7.19135802469136,10.9876543209877,21.2037037037037,20.4938271604938,6.66666666666667,16.0493827160494,17.4074074074074,40.1234567901235,267,292,324,392,244,0.17577353522054,0.192231731402238,0.213298222514812,0.258064516129032,0.160631994733377,1805,1078,22,134,0,720,430,0.454202315047811,0.271263210870659,0.00553598389531958,0.0337191746351283,0,0.181177654755913,0.108203321590337,47,24.4,12.8,15.8,50.1,29.9,20.2,3.9,16.3,49.9,47,3,16,"Van Cortlandt Village",294850,3.7,1854,739,1285,0.323351786612984,52.2,43.6,56.1,3974,279,0.075609756097561,-1.3143,2,0.0517,0,0.326964615,91,1730,687,470,393,41,139,0.397109826589595,0.271676300578035,0.227167630057803,0.0236994219653179,0.0803468208092486,55.5,24,12.8942139606698,571.505370693747,0,0,0,0,0.524408656265727,0.0629089079013588,0.0228988424760946,0,1,0,0,267750,10.2072890068678,3.1,752.1,0.115427868508008
"Bronx","y15",36005009300,"Census Tract 93, Bronx County, New York",330600,NA,30159,6027,0.485911717348084,1752,1104,1939,46,0.348484848484849,1676,0.850329781836631,1524,0.89174956114687,1971,48,71,271,267,197,103,649,365,0.0243531202435312,0.0360223236935566,0.137493658041603,0.135464231354642,0.099949264332826,0.052257737189244,0.329274479959411,0.185185185185185,83,54,71,162,161,101,1255,84,0.0426179604261796,0.0421106037544394,0.0273972602739726,0.0360223236935566,0.0821917808219178,0.0816844241501776,0.0512430238457636,0.636732623033993,17.9550506297851,18.5230921215115,27.2165966905409,16.4979007162262,9.3603358854038,7.65621141022475,2.79081254630773,19.8073598419363,601,257,344,583,130,0.313838120104439,0.13420365535248,0.179634464751958,0.30443864229765,0.0678851174934726,1156,1830,28,0,0,3292,422,0.177382231087924,0.280804050943686,0.00429645542427497,0,0,0.505140402025472,0.0647537210372871,21.5,20.8,21.5,36.2,72.3,28.9,43.3,8.7,34.6,27.7,21.5,6.3,47.8,"Hunts Point",346533.333333333,4,1942,1112,2315,0.355224796685592,30.9,30.4,31.6,6517,2335,0.406794425087108,-0.2643,3,-0.0493,0,0.031405413,854,2021,334,689,444,292,262,0.165264720435428,0.340920336467096,0.219693221177635,0.144482929242949,0.129638792676893,41.2,47.4,47.4328213344207,809.037344116455,8,25,3.125,-5,0.924812030075188,0.268835353690348,0.131041890440387,0.00122755869264999,1,0,0,15933.3333333333,12.7086644643691,3.1,752.1,0.069295134294859
"Bronx","y15",36005009600,"Census Tract 96, Bronx County, New York",385200,NA,41250,1879,0.41715565737237,544,1385,1946,65,0.243445692883895,723,0.884944920440636,468,0.678260869565217,817,125,143,193,196,66,22,10,40,0.152998776009792,0.175030599755202,0.236230110159119,0.239902080783354,0.0807833537331701,0.0269277845777234,0.0122399020807834,0.0489596083231334,14,0,0,140,63,118,341,141,0.172582619339045,0.0171358629130967,0,0,0.171358629130967,0.0771113831089351,0.144430844553244,0.417380660954712,18.4743742550656,11.3230035756853,23.8974970202622,17.818831942789,9.11799761620977,13.5280095351609,5.84028605482718,28.4862932061979,197,253,175,174,59,0.22960372960373,0.294871794871795,0.203962703962704,0.202797202797203,0.0687645687645688,526,561,13,381,0,1018,126,0.205308352849336,0.218969555035129,0.00507416081186573,0.148711943793911,0,0.397345823575332,0.0491803278688525,18.3,22.4,23.1,36.2,80.8,37.9,42.9,8.4,34.4,19.2,18.3,1,51.2,"Westchester-Unionport",415757.142857143,4.4,789,1553,929,0.362607338017174,33.8,30.5,37.5,2562,367,0.155574395930479,0.8614,4,0.0606,1,0.065617879,199,932,184,376,198,32,142,0.197424892703863,0.40343347639485,0.21244635193133,0.0343347639484979,0.152360515021459,51,34.2,4.83209298722815,827.078666682601,10,33,3.3,8,0.733411397345824,0.212334113973458,0.0776736924277908,0.0039032006245121,1,0,0,30557.1428571428,12.8615179589061,3.1,752.1,0.0338753074661617
"Bronx","y15",36005022404,"Census Tract 224.04, Bronx County, New York",120500,NA,42070,2263,0.637637564618318,179,1190,1944,43,0.134796238244514,1807,0.977285018929151,1528,0.875143184421535,1849,10,18,19,24,10,56,794,918,0.00540832882639264,0.00973499188750676,0.010275824770146,0.0129799891833423,0.00540832882639264,0.0302866414277988,0.429421308815576,0.496484586262845,0,75,52,135,195,196,837,359,0.194159004867496,0,0.0405624661979448,0.0281233098972418,0.0730124391563007,0.105462412114657,0.106003244997296,0.452677122769064,7.45140388768898,14.9748020158387,22.1022318214543,20.662347012239,6.33549316054716,18.5745140388769,9.89920806335493,34.809215262779,347,491,538,488,201,0.168038740920097,0.237772397094431,0.260532687651332,0.236319612590799,0.0973365617433414,1641,903,0,179,0,1242,444,0.391927394315739,0.215667542393122,0,0.0427513732983043,0,0.29663243372343,0.106042512538811,30.9,40.6,12,16.5,65.1,34.8,30.3,8,22.4,34.9,30.9,4,32.5,"Pelham Parkway",349488.888888889,3.3,1798,1145,1096,0.261762598519226,33,36.5,31.5,4187,862,0.205875328397421,0.2315,3,0.1169,0,0.099368364,141,2151,784,513,488,194,172,0.364481636448164,0.238493723849372,0.226871222687122,0.0901906090190609,0.0799628079962808,59.2,22.5,38.9598867187161,859.759989241802,25,78,3.12,7,0.540482445665154,0.0427513732983043,0.0336756627657034,0.0059708621925006,1,0,0,228988.888888889,11.6994050319128,3.1,752.1,0.274128822090856
"Bronx","y15",36005002000,"Census Tract 20, Bronx County, New York",377800,NA,18086,1719,0.530845187579364,422,664,1954,121,0.254201680672269,2953,0.931545741324921,2662,0.893288590604027,3170,208,274,441,351,50,105,785,956,0.065615141955836,0.0864353312302839,0.139116719242902,0.110725552050473,0.0157728706624606,0.0331230283911672,0.247634069400631,0.301577287066246,0,159,376,462,894,497,734,48,0.0151419558359621,0,0.0501577287066246,0.118611987381703,0.145741324921136,0.282018927444795,0.156782334384858,0.231545741324921,16.1357210179076,18.6993402450518,33.5721017907634,12.3279924599435,9.82092365692743,6.52214891611687,2.92177191328935,19.2648444863336,421,318,689,868,188,0.169484702093398,0.128019323671498,0.277375201288245,0.349436392914654,0.0756843800322061,2628,3497,158,278,0,1512,886,0.308595584781588,0.410638797557539,0.0185533114138093,0.0326444340065759,0,0.177548144668859,0.10403945514326,31.7,20.5,20.7,27,67,16.3,50.8,5.6,45.1,33,31.7,1.3,43.2,"Soundview-Castle Hill-Clason Point-Harding Park",346400,4,3161,770,2199,0.258219821512447,35.5,29.4,38.3,8516,4521,0.53181978590754,-2.9551,1,-0.6993,0,0.272001605,620,2508,364,1031,420,177,516,0.145135566188198,0.411084529505582,0.167464114832536,0.0705741626794258,0.205741626794258,36.8,54.1,4.49959431130444,705.467206426963,2,6,3,1,0.201855331141381,0.0495537811178957,0.0728041333959605,0.000234852043212776,1,0,0,-31400,12.8421202340495,3.1,752.1,0.0285773976364544
