"Line";"Station.Name";"Station.Latitude";"Station.Longitude";"Route1";"Route2";"Route3";"Route4";"Route5";"Route6";"Route7";"Route8";"Route9";"Route10";"Route11"
"4 Avenue";"25th St";40,660397;-73,998091;"R";"";"";"";"";"";"";NA;NA;NA;NA
"4 Avenue";"25th St";40,660397;-73,998091;"R";"";"";"";"";"";"";NA;NA;NA;NA
"4 Avenue";"36th St";40,655144;-74,003549;"N";"R";"";"";"";"";"";NA;NA;NA;NA
"4 Avenue";"36th St";40,655144;-74,003549;"N";"R";"";"";"";"";"";NA;NA;NA;NA
"4 Avenue";"36th St";40,655144;-74,003549;"N";"R";"";"";"";"";"";NA;NA;NA;NA
"4 Avenue";"45th St";40,648939;-74,010006;"R";"";"";"";"";"";"";NA;NA;NA;NA
"4 Avenue";"45th St";40,648939;-74,010006;"R";"";"";"";"";"";"";NA;NA;NA;NA
"4 Avenue";"45th St";40,648939;-74,010006;"R";"";"";"";"";"";"";NA;NA;NA;NA
"4 Avenue";"45th St";40,648939;-74,010006;"R";"";"";"";"";"";"";NA;NA;NA;NA
"4 Avenue";"53rd St";40,645069;-74,014034;"R";"";"";"";"";"";"";NA;NA;NA;NA
"4 Avenue";"53rd St";40,645069;-74,014034;"R";"";"";"";"";"";"";NA;NA;NA;NA
"4 Avenue";"53rd St";40,645069;-74,014034;"R";"";"";"";"";"";"";NA;NA;NA;NA
"4 Avenue";"53rd St";40,645069;-74,014034;"R";"";"";"";"";"";"";NA;NA;NA;NA
"4 Avenue";"53rd St";40,645069;-74,014034;"R";"";"";"";"";"";"";NA;NA;NA;NA
"4 Avenue";"59th St";40,641362;-74,017881;"N";"R";"";"";"";"";"";NA;NA;NA;NA
"4 Avenue";"59th St";40,641362;-74,017881;"N";"R";"";"";"";"";"";NA;NA;NA;NA
"4 Avenue";"59th St";40,641362;-74,017881;"N";"R";"";"";"";"";"";NA;NA;NA;NA
"4 Avenue";"59th St";40,641362;-74,017881;"N";"R";"";"";"";"";"";NA;NA;NA;NA
"4 Avenue";"59th St";40,641362;-74,017881;"N";"R";"";"";"";"";"";NA;NA;NA;NA
"4 Avenue";"59th St";40,641362;-74,017881;"N";"R";"";"";"";"";"";NA;NA;NA;NA
"4 Avenue";"77th St";40,629742;-74,02551;"R";"";"";"";"";"";"";NA;NA;NA;NA
"4 Avenue";"77th St";40,629742;-74,02551;"R";"";"";"";"";"";"";NA;NA;NA;NA
"4 Avenue";"77th St";40,629742;-74,02551;"R";"";"";"";"";"";"";NA;NA;NA;NA
"4 Avenue";"86th St";40,622687;-74,028398;"R";"";"";"";"";"";"";NA;NA;NA;NA
"4 Avenue";"86th St";40,622687;-74,028398;"R";"";"";"";"";"";"";NA;NA;NA;NA
"4 Avenue";"86th St";40,622687;-74,028398;"R";"";"";"";"";"";"";NA;NA;NA;NA
"4 Avenue";"95th St";40,616622;-74,030876;"R";"";"";"";"";"";"";NA;NA;NA;NA
"4 Avenue";"95th St";40,616622;-74,030876;"R";"";"";"";"";"";"";NA;NA;NA;NA
"4 Avenue";"95th St";40,616622;-74,030876;"R";"";"";"";"";"";"";NA;NA;NA;NA
"4 Avenue";"95th St";40,616622;-74,030876;"R";"";"";"";"";"";"";NA;NA;NA;NA
"4 Avenue";"95th St";40,616622;-74,030876;"R";"";"";"";"";"";"";NA;NA;NA;NA
"4 Avenue";"9th St";40,670847;-73,988302;"F";"G";"R";"";"";"";"";NA;NA;NA;NA
"4 Avenue";"9th St";40,670847;-73,988302;"F";"G";"R";"";"";"";"";NA;NA;NA;NA
"4 Avenue";"Atlantic Av-Barclays Ctr";40,683666;-73,97881;"B";"Q";"D";"N";"R";"2";"3";4;5;NA;NA
"4 Avenue";"Bay Ridge Av";40,634967;-74,023377;"R";"";"";"";"";"";"";NA;NA;NA;NA
"4 Avenue";"Bay Ridge Av";40,634967;-74,023377;"R";"";"";"";"";"";"";NA;NA;NA;NA
"4 Avenue";"Bay Ridge Av";40,634967;-74,023377;"R";"";"";"";"";"";"";NA;NA;NA;NA
"4 Avenue";"DeKalb Av";40,690635;-73,981824;"B";"Q";"R";"";"";"";"";NA;NA;NA;NA
"4 Avenue";"DeKalb Av";40,690635;-73,981824;"B";"Q";"R";"";"";"";"";NA;NA;NA;NA
"4 Avenue";"DeKalb Av";40,690635;-73,981824;"B";"Q";"R";"";"";"";"";NA;NA;NA;NA
"4 Avenue";"DeKalb Av";40,690635;-73,981824;"B";"Q";"R";"";"";"";"";NA;NA;NA;NA
"4 Avenue";"DeKalb Av";40,690635;-73,981824;"B";"Q";"R";"";"";"";"";NA;NA;NA;NA
"4 Avenue";"DeKalb Av";40,690635;-73,981824;"B";"Q";"R";"";"";"";"";NA;NA;NA;NA
"4 Avenue";"Pacific St";40,683666;-73,97881;"B";"Q";"D";"N";"R";"2";"3";4;5;NA;NA
"4 Avenue";"Pacific St";40,683666;-73,97881;"B";"Q";"D";"N";"R";"2";"3";4;5;NA;NA
"4 Avenue";"Prospect Av";40,665414;-73,992872;"R";"";"";"";"";"";"";NA;NA;NA;NA
"4 Avenue";"Prospect Av";40,665414;-73,992872;"R";"";"";"";"";"";"";NA;NA;NA;NA
"4 Avenue";"Prospect Av";40,665414;-73,992872;"R";"";"";"";"";"";"";NA;NA;NA;NA
"4 Avenue";"Union St";40,677316;-73,98311;"R";"";"";"";"";"";"";NA;NA;NA;NA
"4 Avenue";"Union St";40,677316;-73,98311;"R";"";"";"";"";"";"";NA;NA;NA;NA
"4 Avenue";"Union St";40,677316;-73,98311;"R";"";"";"";"";"";"";NA;NA;NA;NA
"4 Avenue";"Union St";40,677316;-73,98311;"R";"";"";"";"";"";"";NA;NA;NA;NA
"42nd St Shuttle";"Grand Central";40,752769;-73,979189;"GS";"4";"5";"6";"7";"";"";NA;NA;NA;NA
"42nd St Shuttle";"Grand Central";40,752769;-73,979189;"GS";"4";"5";"6";"7";"";"";NA;NA;NA;NA
"42nd St Shuttle";"Grand Central";40,752769;-73,979189;"GS";"4";"5";"6";"7";"";"";NA;NA;NA;NA
"42nd St Shuttle";"Grand Central";40,752769;-73,979189;"GS";"4";"5";"6";"7";"";"";NA;NA;NA;NA
"42nd St Shuttle";"Grand Central";40,752769;-73,979189;"GS";"4";"5";"6";"7";"";"";NA;NA;NA;NA
"42nd St Shuttle";"Grand Central";40,752769;-73,979189;"GS";"4";"5";"6";"7";"";"";NA;NA;NA;NA
