"Station.Name";"Station.Latitude";"Station.Longitude";"Route";"Line";"n";"total";"columns";"rows";"offsetY";"offsetX"
"West 8th St";40,576127;-73,975939;"Route1";"F";0;2;0;0;0;0
"West 8th St";40,576127;-73,975939;"Route2";"Q";1;2;1;0;0;1
"Ocean Parkway";40,576312;-73,968501;"Route1";"Q";0;1;0;0;0;0
"Stillwell Av";40,577422;-73,981233;"Route1";"D";0;4;0;0;0;0
"Stillwell Av";40,577422;-73,981233;"Route2";"F";1;4;1;0;0;1
"Stillwell Av";40,577422;-73,981233;"Route3";"N";2;4;2;0;0;2
"Stillwell Av";40,577422;-73,981233;"Route4";"Q";3;4;3;0;0;3
"Brighton Beach";40,577621;-73,961376;"Route1";"B";0;2;0;0;0;0
"Brighton Beach";40,577621;-73,961376;"Route2";"Q";1;2;1;0;0;1
"Rockaway Park-Beach 116th";40,580903;-73,835592;"Route1";"H";0;1;0;0;0;0
"Neptune Av-Van Siclen";40,581011;-73,974574;"Route1";"F";0;1;0;0;0;0
"Beach 105th St";40,583209;-73,827559;"Route1";"H";0;1;0;0;0;0
"Beach 98th St";40,585307;-73,820558;"Route1";"H";0;1;0;0;0;0
"Sheepshead Bay";40,586896;-73,954155;"Route1";"B";0;2;0;0;0;0
"Sheepshead Bay";40,586896;-73,954155;"Route2";"Q";1;2;1;0;0;1
"Beach 90th St";40,588034;-73,813641;"Route1";"H";0;1;0;0;0;0
"Bay 50th St";40,588841;-73,983765;"Route1";"D";0;1;0;0;0;0
"Av X";40,58962;-73,97425;"Route1";"F";0;1;0;0;0;0
"Beach 67th St";40,590927;-73,796924;"Route1";"A";0;1;0;0;0;0
"Beach 60th St";40,592374;-73,788522;"Route1";"A";0;1;0;0;0;0
"86th St";40,592721;-73,97823;"Route1";"N";0;1;0;0;0;0
"Beach 44th St";40,592943;-73,776013;"Route1";"A";0;1;0;0;0;0
"Neck Rd";40,595246;-73,955161;"Route1";"B";0;2;0;0;0;0
"Neck Rd";40,595246;-73,955161;"Route2";"Q";1;2;1;0;0;1
"Beach 36th St";40,595398;-73,768175;"Route1";"A";0;1;0;0;0;0
"Av U";40,596063;-73,973357;"Route1";"F";0;1;0;0;0;0
"Av U";40,597473;-73,979137;"Route1";"N";0;1;0;0;0;0
"25th Av";40,597704;-73,986829;"Route1";"D";0;1;0;0;0;0
"Av U";40,5993;-73,955929;"Route1";"B";0;2;0;0;0;0
"Av U";40,5993;-73,955929;"Route2";"Q";1;2;1;0;0;1
"Beach 25th St";40,600066;-73,761353;"Route1";"A";0;1;0;0;0;0
"Bay Parkway";40,601875;-73,993728;"Route1";"D";0;1;0;0;0;0
"Kings Highway";40,603217;-73,972361;"Route1";"F";0;1;0;0;0;0
"Kings Highway";40,603923;-73,980353;"Route1";"N";0;1;0;0;0;0
"Far Rockaway-Mott Av";40,603995;-73,755405;"Route1";"A";0;1;0;0;0;0
"20th Av";40,604556;-73,998168;"Route1";"D";0;1;0;0;0;0
"18th Av";40,607954;-74,001736;"Route1";"D";0;1;0;0;0;0
"Broad Channel";40,608382;-73,815925;"Route1";"A";0;2;0;0;0;0
"Broad Channel";40,608382;-73,815925;"Route2";"H";1;2;1;0;0;1
"Kings Highway";40,60867;-73,957734;"Route1";"B";0;2;0;0;0;0
"Kings Highway";40,60867;-73,957734;"Route2";"Q";1;2;1;0;0;1
"Av P";40,608944;-73,973022;"Route1";"F";0;1;0;0;0;0
"Bay Parkway-22nd Av";40,611815;-73,981848;"Route1";"N";0;1;0;0;0;0
"79th St";40,613501;-74,00061;"Route1";"D";0;1;0;0;0;0
"Av N";40,61514;-73,974197;"Route1";"F";0;1;0;0;0;0
"95th St";40,616622;-74,030876;"Route1";"R";0;1;0;0;0;0
"20th Av";40,61741;-73,985026;"Route1";"N";0;1;0;0;0;0
"Av M";40,617618;-73,959399;"Route1";"B";0;2;0;0;0;0
"Av M";40,617618;-73,959399;"Route2";"Q";1;2;1;0;0;1
"71st St";40,619589;-73,998864;"Route1";"D";0;1;0;0;0;0
"18th Av";40,620671;-73,990414;"Route1";"N";0;1;0;0;0;0
"Bay Parkway-22nd Av";40,620769;-73,975264;"Route1";"F";0;1;0;0;0;0
"86th St";40,622687;-74,028398;"Route1";"R";0;1;0;0;0;0
"New Utrecht Av";40,624842;-73,996353;"Route1";"D";0;2;0;0;0;0
"New Utrecht Av";40,624842;-73,996353;"Route2";"N";1;2;1;0;0;1
"Av J";40,625039;-73,960803;"Route1";"B";0;2;0;0;0;0
"Av J";40,625039;-73,960803;"Route2";"Q";1;2;1;0;0;1
"Av I";40,625322;-73,976127;"Route1";"F";0;1;0;0;0;0
"62nd St";40,626472;-73,996895;"Route1";"D";0;2;0;0;0;0
"62nd St";40,626472;-73,996895;"Route2";"N";1;2;1;0;0;1
"Av H";40,62927;-73,961639;"Route1";"B";0;2;0;0;0;0
"Av H";40,62927;-73,961639;"Route2";"Q";1;2;1;0;0;1
"77th St";40,629742;-74,02551;"Route1";"R";0;1;0;0;0;0
